who,what,when,where,why,how,sentence,original_text,chunk_index,field_count,umap_x,umap_y,umap_x_3d,umap_y_3d,umap_z_3d,cluster,color_temporal,hover_text
Pope,says,,,if you taught them not,judiciously,Pope says because if you taught them not by judiciously,"Pope says, judiciously:

 ""Men should be taught as if you taught them not,
 And things unknown propos'd as things forgot;""

farther recommending to us

 ""To speak, tho' sure, with seeming diffi...",0,4,7.3384004,11.234901,7.0826983,15.638404,2.172482,0,0,<b>Who:</b> Pope<br><b>What:</b> says<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> if you taught them not<br><b>How:</b> judiciously<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,ask,,,,properly,Someone ask by properly,"""

If you ask, Why less properly?",0,2,9.931199,14.093804,5.9482594,17.637865,3.8506937,0,0,<b>Who:</b> <br><b>What:</b> ask<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> properly<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,admit,,,want of modesty is want of sense,,Someone admit because want of modesty is want of sense,"I must repeat the lines,

 ""Immodest words admit of no defense,
 For want of modesty is want of sense.""",0,2,8.580686,12.636081,6.412423,16.722004,2.7776308,0,0,<b>Who:</b> <br><b>What:</b> admit<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> want of modesty is want of sense<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,stand,,,,justly,Someone stand by justly,"and would not the lines stand more
justly thus?",0,2,10.9026985,13.355027,5.143699,17.480354,3.7846272,0,0,<b>Who:</b> <br><b>What:</b> stand<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> justly<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,admit,,,,,Someone admit,"""Immodest words admit but this defense,
 That want of modesty is want of sense.""",0,1,10.127991,15.227576,6.200939,18.802431,4.269695,0,0,<b>Who:</b> <br><b>What:</b> admit<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,submit,,,,,Someone submit,"This, however, I should submit to better judgments.",0,1,10.547782,12.776399,5.0068493,16.969534,3.9923677,0,0,<b>Who:</b> <br><b>What:</b> submit<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,begun print,"1720, 1721",,,,Someone begun print during 1720,"My brother had, in 1720 or 1721, begun to print a newspaper.",0,2,8.933086,9.630693,5.4551535,13.882242,1.9679204,0,0,"<b>Who:</b> <br><b>What:</b> begun print<br><b>Where:</b> <br><b>When:</b> 1720, 1721<br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,remember,,America,"not likely to
succeed",some,"Someone remember in America because not likely to
succeed by some","I remember his being
dissuaded by some of his friends from the undertaking, as not likely to
succeed, one newspaper being, in their judgment, enough for America.",0,4,10.151556,10.27599,4.9756866,14.680393,2.9049296,0,0,"<b>Who:</b> <br><b>What:</b> remember<br><b>Where:</b> America<br><b>When:</b> <br><b>Why:</b> not likely to
succeed<br><b>How:</b> some<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,are twenty,,,,,Someone are twenty,"At
this time (1771) there are not less than five-and-twenty.",0,1,11.034564,13.603283,5.0002413,17.615854,3.6396534,0,0,<b>Who:</b> <br><b>What:</b> are twenty<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
thro,went,,,"employed to carry the papers
thro' the streets to the customers",undertaking,"thro went because employed to carry the papers
thro' the streets to the customers by undertaking","He went on,
however, with the undertaking, and after having worked in composing the
types and printing off the sheets, I was employed to carry the papers
thro' the streets to the customers.",0,4,11.712019,10.300847,6.2999296,14.778323,4.8958855,0,0,"<b>Who:</b> thro<br><b>What:</b> went<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> employed to carry the papers
thro' the streets to the customers<br><b>How:</b> undertaking<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,had men,,,this paper,,Someone had men because this paper,"He had some ingenious men among his friends, who amus'd themselves by
writing little pieces for this paper, which gain'd it credit and made it
more in demand, and these gentlemen often visited us.",0,2,8.583705,10.574923,5.30291,15.270521,1.8531371,0,0,<b>Who:</b> <br><b>What:</b> had men<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> this paper<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,put it,night,,excited to try my hand among them; but,,Someone put it during night because excited to try my hand among them; but,"Hearing their
conversations, and their accounts of the approbation their papers were
received with, I was excited to try my hand among them; but, being still
a boy, and suspecting that my brother w...",0,3,11.861456,11.906971,4.2832007,16.047012,4.170136,0,0,<b>Who:</b> <br><b>What:</b> put it<br><b>Where:</b> <br><b>When:</b> night<br><b>Why:</b> excited to try my hand among them; but<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,found,the morning,,found in the morning,,Someone found during the morning because found in the morning,"It was found in the morning, and
communicated to his writing friends when they call'd in as usual.",0,3,11.939659,11.865055,4.1240687,16.09209,4.0359488,0,0,<b>Who:</b> <br><b>What:</b> found<br><b>Where:</b> <br><b>When:</b> the morning<br><b>Why:</b> found in the morning<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,read it,,,"ure
of finding it met with their approbation",approbation,"Someone read it because ure
of finding it met with their approbation by approbation","They
read it, commented on it in my hearing, and I had the exquisite pleasure
of finding it met with their approbation, and that, in their different
guesses at the author, none were named but men o...",0,3,8.29332,10.545937,5.7469273,15.645338,1.9119214,0,0,"<b>Who:</b> <br><b>What:</b> read it<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> ure
of finding it met with their approbation<br><b>How:</b> approbation<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,suppose,,,"rather lucky in
my judges",really,"Someone suppose because rather lucky in
my judges by really","I suppose now that I was rather lucky in
my judges, and that perhaps they were not really so very good ones as I
then esteem'd them.",0,3,8.624994,12.172053,6.571889,16.167774,3.127807,0,0,"<b>Who:</b> <br><b>What:</b> suppose<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> rather lucky in
my judges<br><b>How:</b> really<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,wrote papers,,,"pretty well
exhausted and then I discovered it",this,"Someone wrote papers because pretty well
exhausted and then I discovered it by this","Encourag'd, however, by this, I wrote and convey'd in the same way to
the press several more papers which were equally approv'd; and I kept my
secret till my small fund of sense for such performance...",0,3,8.424279,10.561671,5.4328513,15.486071,1.7660446,0,0,"<b>Who:</b> <br><b>What:</b> wrote papers<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> pretty well
exhausted and then I discovered it<br><b>How:</b> this<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,considered himself,,,my master,accordingly,Someone considered himself because my master by accordingly,"Though a brother, he
considered himself as my master, and me as his apprentice, and
accordingly, expected the same services from me as he would from
another, while I thought he demean'd me too much...",0,3,9.261964,12.712041,5.9793787,16.765507,3.2201142,0,0,<b>Who:</b> <br><b>What:</b> considered himself<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> my master<br><b>How:</b> accordingly<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,brought,,,"the judgment was generally in
my favor",generally,"Someone brought because the judgment was generally in
my favor by generally","Our disputes were often
brought before our father, and I fancy I was either generally in the
right, or else a better pleader, because the judgment was generally in
my favor.",0,3,8.696702,12.0698595,6.506619,15.980038,3.1987731,0,0,"<b>Who:</b> <br><b>What:</b> brought<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> the judgment was generally in
my favor<br><b>How:</b> generally<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,fancy,,,"stuck to me
through my whole life",aversion,"Someone fancy because stuck to me
through my whole life by aversion","I fancy his harsh and tyrannical treatment of me might be a means of
impressing me with that aversion to arbitrary power that has stuck to me
through my whole life.",0,3,9.64794,13.046144,5.773709,17.146692,3.3056011,0,0,"<b>Who:</b> <br><b>What:</b> fancy<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> stuck to me
through my whole life<br><b>How:</b> aversion<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,gave offense,,,sembly,,Someone gave offense because sembly,"One of the pieces in our newspaper on some political point, which I have
now forgotten, gave offense to the Assembly.",0,2,7.832086,12.271053,7.119828,15.470843,3.841522,0,0,<b>Who:</b> <br><b>What:</b> gave offense<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> sembly<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,suppose,a month,,he would not discover his author,warrant,Someone suppose during a month because he would not discover his author by warrant,"He was taken up, censur'd,
and imprison'd for a month, by the speaker's warrant, I suppose, because
he would not discover his author.",0,4,8.498461,10.816483,5.379644,15.606773,2.0565355,0,0,<b>Who:</b> <br><b>What:</b> suppose<br><b>Where:</b> <br><b>When:</b> a month<br><b>Why:</b> he would not discover his author<br><b>How:</b> warrant<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,content'd themselves,,,"taken up and examin'd before
the council; but",,"Someone content'd themselves because taken up and examin'd before
the council; but","I too was taken up and examin'd before
the council; but, tho' I did not give them any satisfaction, they
content'd themselves with admonishing me, and dismissed me, considering
me, perhaps, as an a...",0,2,8.284378,11.928785,6.7952943,15.7928295,3.1847417,0,0,"<b>Who:</b> <br><b>What:</b> content'd themselves<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> taken up and examin'd before
the council; but<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,had management,,,"a young genius that had a turn for libelling and
satyr",kindly,"Someone had management because a young genius that had a turn for libelling and
satyr by kindly","During my brother's confinement, which I resented a good deal,
notwithstanding our private differences, I had the management of the
paper; and I made bold to give our rulers some rubs in it, which m...",0,3,8.809216,11.2908745,5.825552,15.81231,2.5661721,0,0,"<b>Who:</b> <br><b>What:</b> had management<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> a young genius that had a turn for libelling and
satyr<br><b>How:</b> kindly<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
James Franklin,accompany'd,,,"accompany'd with an order of the House
(a very odd one)",order,"James Franklin accompany'd because accompany'd with an order of the House
(a very odd one) by order","My brother's discharge was accompany'd with an order of the House
(a very odd one), that ""James Franklin should no longer print the paper
called the New England Courant.",0,4,9.879597,7.9285126,6.0347958,12.635415,2.8398743,0,0,"<b>Who:</b> James Franklin<br><b>What:</b> accompany'd<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> accompany'd with an order of the House
(a very odd one)<br><b>How:</b> order<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,was consultation,,,a consultation held in our printing-house among his friends,,Someone was consultation because a consultation held in our printing-house among his friends,"""

There was a consultation held in our printing-house among his friends,
what he should do in this case.",0,2,9.004484,10.365898,5.344791,14.841345,2.294515,0,0,<b>Who:</b> <br><b>What:</b> was consultation<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> a consultation held in our printing-house among his friends<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
Benjamin Franklin,,,,finally concluded on as a better way,finally,Benjamin Franklin did something because finally concluded on as a better way by finally,"Some proposed to evade the order by
changing the name of the paper; but my brother, seeing inconveniences in
that, it was finally concluded on as a better way, to let it be printed
for the future u...",0,3,9.6855955,7.752171,6.1848083,12.489112,2.671196,0,0,<b>Who:</b> Benjamin Franklin<br><b>What:</b> <br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> finally concluded on as a better way<br><b>How:</b> finally<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,executed,"several
months",,; however,immediately,"Someone executed during several
months because ; however by immediately","A very flimsy scheme it was; however, it was immediately
executed, and the paper went on accordingly, under my name for several
months.",0,4,10.393318,11.516478,4.9346294,15.790989,3.3936002,0,0,"<b>Who:</b> <br><b>What:</b> executed<br><b>Where:</b> <br><b>When:</b> several
months<br><b>Why:</b> ; however<br><b>How:</b> immediately<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,took assert,,,sert my freedom,,Someone took assert because sert my freedom,"At length, a fresh difference arising between my brother and me, I took
upon me to assert my freedom, presuming that he would not venture to
produce the new indentures.",0,2,8.586474,12.131621,6.652324,15.908479,3.1729765,0,0,<b>Who:</b> <br><b>What:</b> took assert<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> sert my freedom<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,took care,,,,accordingly,Someone took care by accordingly,"When he found I would leave him, he took care to prevent my getting
employment in any other printing-house of the town, by going round and
speaking to every master, who accordingly refus'd to give m...",0,2,10.453969,12.699459,5.687108,16.61502,4.3071055,0,0,<b>Who:</b> <br><b>What:</b> took care<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> accordingly<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,thought,,"New York, Boston, scrapes","the nearest place where there was
a printer; and I was rather inclin'd to leave Boston when I refle",horror,"Someone thought in New York because the nearest place where there was
a printer; and I was rather inclin'd to leave Boston when I refle by horror","I
then thought of going to New York, as the nearest place where there was
a printer; and I was rather inclin'd to leave Boston when I reflected
that I had already made myself a little obnoxious to ...",0,4,10.493403,8.591853,5.7647853,13.269724,3.7344646,0,0,"<b>Who:</b> <br><b>What:</b> thought<br><b>Where:</b> New York, Boston, scrapes<br><b>When:</b> <br><b>Why:</b> the nearest place where there was
a printer; and I was rather inclin'd to leave Boston when I refle<br><b>How:</b> horror<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Collins,undertook manage,,,,,Collins undertook manage,"My friend Collins, therefore, undertook to
manage a little for me.",0,2,8.688379,8.112979,6.991661,13.454202,3.3992758,0,0,<b>Who:</b> Collins<br><b>What:</b> undertook manage<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,agreed,,New York,my passage,captain,Someone agreed in New York because my passage by captain,"He agreed with the captain of a New York sloop
for my passage, under the notion of my being a young acquaintance of
his, that had got a naughty girl with child, whose friends would compel
me to mar...",0,4,10.635613,9.479385,6.1371937,14.219046,3.8479145,0,0,<b>Who:</b> <br><b>What:</b> agreed<br><b>Where:</b> New York<br><b>When:</b> <br><b>Why:</b> my passage<br><b>How:</b> captain<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,sold some,three days,New York,"taken on board
privately",privately,"Someone sold some in New York during three days because taken on board
privately by privately","So I sold some of my books to raise a little money, was taken on board
privately, and as we had a fair wind, in three days I found myself in
New York, near 300 miles from home, a boy of but 17, with...",0,5,9.823839,10.364772,5.234096,14.61142,3.257811,0,0,"<b>Who:</b> <br><b>What:</b> sold some<br><b>Where:</b> New York<br><b>When:</b> three days<br><b>Why:</b> taken on board
privately<br><b>How:</b> privately<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
"William Bradford, George Keith",offer'd service,,Pennsylvania,,,"William Bradford, George Keith offer'd service in Pennsylvania","But, having a trade, and supposing myself a pretty
good workman, I offer'd my service to the printer in the place, old Mr.
William Bradford, who had been the first printer in Pennsylvania, but
remo...",0,3,9.278395,8.518663,6.0966735,13.100801,3.0638123,0,0,"<b>Who:</b> William Bradford, George Keith<br><b>What:</b> offer'd service<br><b>Where:</b> Pennsylvania<br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
"Aquila, Rose",give employment,,Philadelphia,lately lost his principal hand,lately,"Aquila, Rose give employment in Philadelphia because lately lost his principal hand by lately","He could give me
no employment, having little to do, and help enough already; but says
he, ""My son at Philadelphia has lately lost his principal hand, Aquila
Rose, by death; if you go thither, I be...",0,5,10.391089,7.9002604,5.776296,12.543156,3.5649529,0,0,"<b>Who:</b> Aquila, Rose<br><b>What:</b> give employment<br><b>Where:</b> Philadelphia<br><b>When:</b> <br><b>Why:</b> lately lost his principal hand<br><b>How:</b> lately<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Amboy,set,,Philadelphia,a hundred miles further; I set out,sea,Amboy set in Philadelphia because a hundred miles further; I set out by sea,"""
Philadelphia was a hundred miles further; I set out, however, in a boat
for Amboy, leaving my chest and things to follow me round by sea.",0,5,10.462609,7.8956175,5.7092557,12.475102,3.6458402,0,0,<b>Who:</b> Amboy<br><b>What:</b> set<br><b>Where:</b> Philadelphia<br><b>When:</b> <br><b>Why:</b> a hundred miles further; I set out<br><b>How:</b> sea<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,met,,"Long
Island",,squall,"Someone met in Long
Island by squall","In crossing the bay, we met with a squall that tore our rotten sails to
pieces, prevented our getting into the Kill, and drove us upon Long
Island.",0,3,10.702762,11.046745,4.794362,15.359119,3.658527,0,0,"<b>Who:</b> <br><b>What:</b> met<br><b>Where:</b> Long
Island<br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> squall<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Dutchman,reached,,,a passenger too,water,Dutchman reached because a passenger too by water,"In our way, a drunken Dutchman, who was a passenger too, fell
overboard; when he was sinking, I reached through the water to his shock
pate, and drew him up, so that we got him in again.",0,4,11.354781,10.501021,5.571612,14.937344,4.7478194,0,0,<b>Who:</b> Dutchman<br><b>What:</b> reached<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> a passenger too<br><b>How:</b> water<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,sobered him,,,,,Someone sobered him,"His ducking sobered
him a little, and he went to sleep, taking first out of his pocket a
book, which he desir'd I would dry for him.",0,1,11.54672,12.816026,4.923977,16.704893,4.841262,0,0,<b>Who:</b> <br><b>What:</b> sobered him<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,proved be,,"Bunyan, Dutch",,finely,Someone proved be in Bunyan by finely,"It proved to be my old
favorite author, Bunyan's Pilgrim's Progress, in Dutch, finely printed
on good paper, with copper cuts, a dress better than I had ever seen it
wear in its own language.",0,3,7.5132437,10.693907,6.7541437,15.411118,1.9421356,0,0,"<b>Who:</b> <br><b>What:</b> proved be<br><b>Where:</b> Bunyan, Dutch<br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> finely<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,found,,Europe,"found that it has been translated
into most of the languages of Europe",generally,"Someone found in Europe because found that it has been translated
into most of the languages of Europe by generally","I have since found that it has been translated
into most of the languages of Europe, and suppose it has been more
generally read than any other book, except perhaps the Bible.",0,4,9.283399,9.838218,5.299215,14.106608,2.3289537,0,0,"<b>Who:</b> <br><b>What:</b> found<br><b>Where:</b> Europe<br><b>When:</b> <br><b>Why:</b> found that it has been translated
into most of the languages of Europe<br><b>How:</b> generally<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
John,brought,,,"the first that I know of who mix'd narration and dialogue; a
method of writing very engaging to the",,"John brought because the first that I know of who mix'd narration and dialogue; a
method of writing very engaging to the","Honest
John was the first that I know of who mix'd narration and dialogue; a
method of writing very engaging to the reader, who in the most
interesting parts finds himself, as it were, brought into...",0,3,8.046751,10.508568,6.0078583,15.331586,1.6590174,0,0,"<b>Who:</b> John<br><b>What:</b> brought<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> the first that I know of who mix'd narration and dialogue; a
method of writing very engaging to the<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
"De Foe, Cruso, Moll Flanders, Richardson, Pamela",imitated it,,,"imitated
it with success; and Richardson has done the same in his Pamela",success,"De Foe, Cruso imitated it because imitated
it with success; and Richardson has done the same in his Pamela by success","De Foe in his Cruso, his Moll Flanders,
Religious Courtship, Family Instructor, and other pieces, has imitated
it with success; and Richardson has done the same in his Pamela, etc.",0,4,8.662987,12.58142,6.6652927,16.473982,2.7564662,0,0,"<b>Who:</b> De Foe, Cruso, Moll Flanders, Richardson, Pamela<br><b>What:</b> imitated it<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> imitated
it with success; and Richardson has done the same in his Pamela<br><b>How:</b> success<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,found,,,"at a place where there
could be no landing",,"Someone found because at a place where there
could be no landing","When we drew near the island, we found it was at a place where there
could be no landing, there being a great surff on the stony beach.",0,2,11.969332,13.054381,4.2384744,17.082994,3.6231668,0,0,"<b>Who:</b> <br><b>What:</b> found<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> at a place where there
could be no landing<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,came,,,"we did to them; but the wind
was so high",,"Someone came because we did to them; but the wind
was so high","Some people came down
to the water edge and hallow'd to us, as we did to them; but the wind
was so high, and the surff so loud, that we could not hear so as to
understand each other.",0,2,11.216568,12.300919,5.3460264,16.282114,4.6031823,0,0,"<b>Who:</b> <br><b>What:</b> came<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> we did to them; but the wind
was so high<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
thro,were canoes,,,still wet,Dutchman,thro were canoes because still wet by Dutchman,"There were canoes on the shore, and we made
signs, and hallow'd that they should fetch us; but they either did not
understand us, or thought it impracticable, so they went away, and night
coming on...",0,4,11.58953,10.357303,5.867937,14.87735,4.875528,0,0,<b>Who:</b> thro<br><b>What:</b> were canoes<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> still wet<br><b>How:</b> Dutchman<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
Amboy,made shift,"the next day, before night, thirty hours",,e night,rest,Amboy made shift during the next day because e night by rest,"In this manner we lay all night, with
very little rest; but, the wind abating the next day, we made a shift to
reach Amboy before night, having been thirty hours on the water, without
victuals, or ...",0,5,11.937094,11.656387,4.143624,15.851096,4.2690125,0,0,"<b>Who:</b> Amboy<br><b>What:</b> made shift<br><b>Where:</b> <br><b>When:</b> the next day, before night, thirty hours<br><b>Why:</b> e night<br><b>How:</b> rest<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,left me,the morning,Philadelphia,"good for a
fever",plentifully,"Someone left me in Philadelphia during the morning because good for a
fever by plentifully","In the evening I found myself very feverish, and went in to bed; but,
having read somewhere that cold water drank plentifully was good for a
fever, I follow'd the prescription, sweat plentiful most ...",0,5,10.517063,8.025264,5.624057,12.649286,3.6471634,0,0,"<b>Who:</b> <br><b>What:</b> left me<br><b>Where:</b> Philadelphia<br><b>When:</b> the morning<br><b>Why:</b> good for a
fever<br><b>How:</b> plentifully<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,stopt,"noon, all night",,thoroughly soak'd,thoroughly,Someone stopt during noon because thoroughly soak'd by thoroughly,"It rained very hard all the day; I was thoroughly soak'd, and by noon a
good deal tired; so I stopt at a poor inn, where I staid all night,
beginning now to wish that I had never left home.",0,4,11.611651,11.83261,4.544386,15.8406105,4.508197,0,0,"<b>Who:</b> <br><b>What:</b> stopt<br><b>Where:</b> <br><b>When:</b> noon, all night<br><b>Why:</b> thoroughly soak'd<br><b>How:</b> thoroughly<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,cut figure,,,k'd me,questions,Someone cut figure because k'd me by questions,"I cut so miserable a
figure, too, that I found, by the questions ask'd me, I was suspected to
be some runaway servant, and in danger of being taken up on that
suspicion.",0,3,9.641247,13.830724,6.7002497,16.98272,4.5513897,0,0,<b>Who:</b> <br><b>What:</b> cut figure<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> k'd me<br><b>How:</b> questions<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
Brown,proceeded,the next day,inn,,Brown,Brown proceeded in inn during the next day by Brown,"However, I proceeded the next day, and got in the evening to
an inn, within eight or ten miles of Burlington, kept by one Dr. Brown.",0,5,11.759302,11.59128,4.3708034,15.806624,4.472867,0,0,<b>Who:</b> Brown<br><b>What:</b> proceeded<br><b>Where:</b> inn<br><b>When:</b> the next day<br><b>Why:</b> <br><b>How:</b> Brown<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,entered,,,,me,Someone entered by me,"He entered into conversation with me while I took some refreshment, and,
finding I had read a little, became very sociable and friendly.",0,2,10.872547,12.754316,4.882075,16.71116,4.300404,0,0,<b>Who:</b> <br><b>What:</b> entered<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> me<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
"Cotton, Virgil",had letters,some years,,ingenious,wickedly,"Cotton, Virgil had letters during some years because ingenious by wickedly","He had
some letters, and was ingenious, but much of an unbeliever, and wickedly
undertook, some years after, to travestie the Bible in doggrel verse, as
Cotton had done Virgil.",0,5,8.53138,10.086576,5.905609,14.601235,1.9565262,0,0,"<b>Who:</b> Cotton, Virgil<br><b>What:</b> had letters<br><b>Where:</b> <br><b>When:</b> some years<br><b>Why:</b> ingenious<br><b>How:</b> wickedly<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,set many,,,,means,Someone set many by means,"By this means he set many of the facts in a very
ridiculous light, and might have hurt weak minds if his work had been
published; but it never was.",0,2,10.569062,13.372223,5.413782,17.34471,3.833516,0,0,<b>Who:</b> <br><b>What:</b> set many<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> means<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,returned,"the next morning, Tuesday, Saturday",,"k'd her
advice",,"Someone returned during the next morning because k'd her
advice","At his house I lay that night, and the next morning reach'd Burlington,
but had the mortification to find that the regular boats were gone a
little before my coming, and no other expected to go befo...",0,3,10.175519,13.377596,6.1225924,17.049006,4.4517646,0,0,"<b>Who:</b> <br><b>What:</b> returned<br><b>Where:</b> <br><b>When:</b> the next morning, Tuesday, Saturday<br><b>Why:</b> k'd her
advice<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,invited me lodge,,,"sage by water
should offer; and being tired with my foot travelling",water,"Someone invited me lodge because sage by water
should offer; and being tired with my foot travelling by water","She invited me to lodge at her house till a passage by water
should offer; and being tired with my foot travelling, I accepted the
invitation.",0,3,10.653343,12.231193,5.0455666,16.276861,4.035306,0,0,"<b>Who:</b> <br><b>What:</b> invited me lodge<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> sage by water
should offer; and being tired with my foot travelling<br><b>How:</b> water<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,understanding,,,a printer,,Someone understanding because a printer,"She understanding I was a printer, would have had me stay at
that town and follow my business, being ignorant of the stock necessary
to begin with.",0,2,8.890058,10.229358,5.344715,14.706075,2.1867993,0,0,<b>Who:</b> <br><b>What:</b> understanding<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> a printer<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,came,,Philadelphia,going towards Philadelphia,side,Someone came in Philadelphia because going towards Philadelphia by side,"However, walking in the
evening by the side of the river, a boat came by, which I found was
going towards Philadelphia, with several people in her.",0,4,10.470106,7.9901934,5.7286115,12.5773325,3.650343,0,0,<b>Who:</b> <br><b>What:</b> came<br><b>Where:</b> Philadelphia<br><b>When:</b> <br><b>Why:</b> going towards Philadelphia<br><b>How:</b> side<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
